ID,Tipo,Resumen,Historia
0,-1,El Heraldo y la Oscuridad,"Despiertas en un mundo envuelto en sombras. Una marca arde en tu mano, pero no recuerdas su origen. Voces antiguas susurran tu nombre, y un peso invisible te acompana. Eres el Heraldo, destinado a enfrentar la Oscuridad. Podras descubrir la verdad antes de que todo se repita una vez mas?"
1,0,Un susurro en la penumbra,"No eres el primero, ni seras el ultimo. La marca en tu mano arde."
2,0,Un mural polvoriento,"Ves figuras luchando contra una sombra. Uno lleva tu simbolo."
3,0,Un eco de tu nombre,"Alguien susurra tu nombre, pero no recuerdas quien eres realmente."
4,0,Un reflejo distorsionado,"En el agua ves un rostro que no reconoces."
5,0,Un diario olvidado,"'El Heraldo debe recordar', dice la ultima pagina."
6,0,Un simbolo grabado,"Encuentras un simbolo antiguo, igual al de tu mano."
7,0,Un viento frio,"El viento trae voces de los que cayeron antes que tu."
8,0,Unos pasos lejanos,"Sientes que alguien te sigue, pero nunca lo ves."
9,0,Un eco de batalla,"El suelo vibra con recuerdos de antiguas guerras."
10,0,Un suspiro en la oscuridad,"La Oscuridad observa, paciente."
42,0,Un reloj sin manecillas,"El tiempo parece no avanzar en este lugar. Sientes que cada segundo es un eco de algo que ya viviste."
43,0,Unos guantes viejos,"Al ponertelos, sientes una fuerza familiar, como si hubieran sido tuyos en otra vida."
44,0,Unas piedras alineadas,"Forman un circulo antiguo. Al pisarlas, escuchas un susurro: 'El ciclo continua'."
45,0,Unas runas borrosas,"No logras descifrarlas, pero te resultan inquietantemente familiares."
11,1,El origen de la Oscuridad,"Hace siglos, un pacto fue roto. La Oscuridad nacio del orgullo humano. Los sabios sellaron su avance, pero el precio fue la memoria de su pueblo. Desde entonces, los Heraldos han luchado en la penumbra, olvidando siempre quienes fueron. Cada marca, cada sacrificio, deja una huella en el mundo y en el alma de quienes portan el simbolo. Pero la Oscuridad no es solo un enemigo externo: es el reflejo de los miedos y errores de los Heraldos, una sombra que crece con cada olvido."
